Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Swatches Attributes
simple,,,"G63 Gaming Headsets for PC, Gaming Headphones with Noise Canceling Mic, PS5 PS4 Headset with Soft Memory Earmuffs, LED Light, Stereo Sound, 2m Wired Over Ear Headphones for Xbox One, Mac, PC, Purple 4.9 out of 5 stars 108 $49.99$49.9950% off coupon appliedSave 50% with coupon $15.25 deliveryShips to FranceAdd to cart+3 other colors/patterns",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,549.89,headset,,,https://m.media-amazon.com/images/I/71uoYBbqf2L._AC_UY218_.jpg,,,,,,,,,0,
simple,,,"Razer Barracuda X Chroma Wireless Gaming Headset: 2.4GHz Wireless & Bluetooth - Lightweight - Chroma RGB - 40mm Drivers - Cardioid Mic - 70 Hr Battery - for PC, Mac, PS5, Switch, Smartphone - White by Razer4.4 out of 5 stars 33 $129.99$129.99Delivery Thu, Jan 9 Ships to France",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,1429.89,headset,,,https://m.media-amazon.com/images/I/71KYmK+IDjL._AC_UY218_.jpg,,,,,,,,,0,
simple,,,"ASUS ROG Pelta Wireless Gaming Headset (BT, ROG SpeedNova 2.4GHz, USB-C, Lightweight 309g, 50mm ROG Titanium-Plated Drivers, 10mm Super-Wideband Mic, RGB, 70HR Battery, for PC, Switch, PS5)- Black $129.99$129.99$17.88 deliveryShips to FranceAdd to cart",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,1429.89,headset,,,https://m.media-amazon.com/images/I/71noSdO0XjL._AC_UY218_.jpg,,,,,,,,,0,
simple,,,"HW10 Wireless Gaming Headset for PS5,PS4,PC,2.4GHz Bluetooth Gaming Headphones with Noise Cancelling Microphone,50Hr Battery Gamer Headset for Switch, Laptop,Mobile,Mac,Cool RGB (White) 4.5 out of 5 stars 38 $29.99$29.99Delivery Thu, Jan 9 Ships to FranceAdd to cart",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,329.89,headset,,,https://m.media-amazon.com/images/I/71aLHCSX4xL._AC_UY218_.jpg,,,,,,,,,0,
simple,,,"Dual Wireless Gaming Headset for PS5 PS4, 2.4 Ghz Bluetooth Gaming Headphones with Noise Cancelling Microphone, 50H Battery Surround Sound Gamer Headsets for PC Mobile Laptop Xbox Nintendo Switch Mac 4.5 out of 5 stars 10 $39.99$39.99$5.00 off coupon appliedSave $5.00 with coupon Delivery Thu, Jan 9 Ships to FranceAdd to cart",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,439.89000000000004,headset,,,https://m.media-amazon.com/images/I/71s25+JAHgL._AC_UY218_.jpg,,,,,,,,,0,
simple,,,"TA82 Wireless Gaming Headset for PS5 PS4 PC Mac Switch, 2.4GHz USB Gamer Headphones with Noise Isolating Microphone, 7.1 Surround Sound - Black 4.3 out of 5 stars 11 $29.99$29.99 List: $49.99$49.99Delivery Thu, Jan 9 Ships to FranceAdd to cart",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,329.89,headset,,,https://m.media-amazon.com/images/I/61c8Lqk1gdL._AC_UY218_.jpg,,,,,,,,,0,
simple,,,"Wireless Gaming Headset, 2.4GHz Gaming Headset for PC, PS4, Switch, 60H Long Lasting Battery, Detachable Noise Cancelling Microphone, BlackRed 4.8 out of 5 stars 80 200+ bought in past month$29.99$29.99 Typical: $39.99$39.99Delivery Thu, Jan 9 Ships to FranceAdd to cart",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,329.89,headset,,,https://m.media-amazon.com/images/I/71M2Up8JGfL._AC_UY218_.jpg,,,,,,,,,0,
simple,,,Lenovo H110 Gaming Headset $56.02$56.02$4.99 delivery Jan 9 - 22 Add to cart,1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,616.22,headset,,,https://m.media-amazon.com/images/I/410Pmy91vVL._AC_UY218_.jpg,,,,,,,,,0,
simple,,,"Wireless Gaming Headset for PS5, PS4, 55H Battery/2.4Ghz Gaming Headphones Wireless with Microphone for PC, Bluetooth 5.3 Gaming Headsets Wireless for PS5, Switch, PC, Laptop, Black&Red $29.99$29.99Delivery Thu, Jan 9 Ships to FranceAdd to cart",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,329.89,headset,,,https://m.media-amazon.com/images/I/71CtYNm8NOL._AC_UY218_.jpg,,,,,,,,,0,
simple,,,"HW12 Wireless Gaming Headset with Microphone 2.4GHz Bluetooth Gaming Headphones Wireless of Duty/FPS Gamers,50Hr Battery Life Gamer Headset for PS5, PS4, PC, Switch, Mac(Black/Green) 4.4 out of 5 stars 29 $35.99$35.99Delivery Thu, Jan 9 Ships to FranceAdd to cart",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,395.89000000000004,headset,,,https://m.media-amazon.com/images/I/81-sFVJi+VL._AC_UY218_.jpg,,,,,,,,,0,
